,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
42,13608962,53160,ACC20MAY1420CE,ACC,0.0,2020-05-28,1420.0,0.05,400,CE,NFO-OPT,NFO
43,13609218,53161,ACC20MAY1420PE,ACC,0.0,2020-05-28,1420.0,0.05,400,PE,NFO-OPT,NFO
44,13609474,53162,ACC20MAY1440CE,ACC,0.0,2020-05-28,1440.0,0.05,400,CE,NFO-OPT,NFO
45,13609730,53163,ACC20MAY1440PE,ACC,0.0,2020-05-28,1440.0,0.05,400,PE,NFO-OPT,NFO
46,13610498,53166,ACC20MAY1460CE,ACC,0.0,2020-05-28,1460.0,0.05,400,CE,NFO-OPT,NFO
47,13611522,53170,ACC20MAY1460PE,ACC,0.0,2020-05-28,1460.0,0.05,400,PE,NFO-OPT,NFO
48,13611778,53171,ACC20MAY1480CE,ACC,0.0,2020-05-28,1480.0,0.05,400,CE,NFO-OPT,NFO
49,13612034,53172,ACC20MAY1480PE,ACC,0.0,2020-05-28,1480.0,0.05,400,PE,NFO-OPT,NFO
50,13612290,53173,ACC20MAY1500CE,ACC,0.0,2020-05-28,1500.0,0.05,400,CE,NFO-OPT,NFO
51,13612546,53174,ACC20MAY1500PE,ACC,0.0,2020-05-28,1500.0,0.05,400,PE,NFO-OPT,NFO
52,13612802,53175,ACC20MAY1520CE,ACC,0.0,2020-05-28,1520.0,0.05,400,CE,NFO-OPT,NFO
53,13613058,53176,ACC20MAY1520PE,ACC,0.0,2020-05-28,1520.0,0.05,400,PE,NFO-OPT,NFO
54,13613314,53177,ACC20MAY1540CE,ACC,0.0,2020-05-28,1540.0,0.05,400,CE,NFO-OPT,NFO
55,13613570,53178,ACC20MAY1540PE,ACC,0.0,2020-05-28,1540.0,0.05,400,PE,NFO-OPT,NFO
56,13614594,53182,ACC20MAY1560CE,ACC,0.0,2020-05-28,1560.0,0.05,400,CE,NFO-OPT,NFO
57,13614850,53183,ACC20MAY1560PE,ACC,0.0,2020-05-28,1560.0,0.05,400,PE,NFO-OPT,NFO
58,13615106,53184,ACC20MAY1580CE,ACC,0.0,2020-05-28,1580.0,0.05,400,CE,NFO-OPT,NFO
59,13615362,53185,ACC20MAY1580PE,ACC,0.0,2020-05-28,1580.0,0.05,400,PE,NFO-OPT,NFO
60,13615618,53186,ACC20MAY1600CE,ACC,0.0,2020-05-28,1600.0,0.05,400,CE,NFO-OPT,NFO
61,13615874,53187,ACC20MAY1600PE,ACC,0.0,2020-05-28,1600.0,0.05,400,PE,NFO-OPT,NFO
62,13616130,53188,ACC20MAY1620CE,ACC,0.0,2020-05-28,1620.0,0.05,400,CE,NFO-OPT,NFO
63,13616386,53189,ACC20MAY1620PE,ACC,0.0,2020-05-28,1620.0,0.05,400,PE,NFO-OPT,NFO
64,13617410,53193,ACC20MAY1640CE,ACC,0.0,2020-05-28,1640.0,0.05,400,CE,NFO-OPT,NFO
65,13618178,53196,ACC20MAY1640PE,ACC,0.0,2020-05-28,1640.0,0.05,400,PE,NFO-OPT,NFO
66,13618434,53197,ACC20MAY1660CE,ACC,0.0,2020-05-28,1660.0,0.05,400,CE,NFO-OPT,NFO
67,13618690,53198,ACC20MAY1660PE,ACC,0.0,2020-05-28,1660.0,0.05,400,PE,NFO-OPT,NFO
68,13618946,53199,ACC20MAY1680CE,ACC,0.0,2020-05-28,1680.0,0.05,400,CE,NFO-OPT,NFO
69,13619202,53200,ACC20MAY1680PE,ACC,0.0,2020-05-28,1680.0,0.05,400,PE,NFO-OPT,NFO
70,13619458,53201,ACC20MAY1700CE,ACC,0.0,2020-05-28,1700.0,0.05,400,CE,NFO-OPT,NFO
71,13619970,53203,ACC20MAY1700PE,ACC,0.0,2020-05-28,1700.0,0.05,400,PE,NFO-OPT,NFO
72,13620226,53204,ACC20MAY1720CE,ACC,0.0,2020-05-28,1720.0,0.05,400,CE,NFO-OPT,NFO
73,13620482,53205,ACC20MAY1720PE,ACC,0.0,2020-05-28,1720.0,0.05,400,PE,NFO-OPT,NFO
74,13620738,53206,ACC20MAY1740CE,ACC,0.0,2020-05-28,1740.0,0.05,400,CE,NFO-OPT,NFO
75,13620994,53207,ACC20MAY1740PE,ACC,0.0,2020-05-28,1740.0,0.05,400,PE,NFO-OPT,NFO
76,13621250,53208,ACC20MAY1760CE,ACC,0.0,2020-05-28,1760.0,0.05,400,CE,NFO-OPT,NFO
77,13621506,53209,ACC20MAY1760PE,ACC,0.0,2020-05-28,1760.0,0.05,400,PE,NFO-OPT,NFO
78,13621762,53210,ACC20MAY1780CE,ACC,0.0,2020-05-28,1780.0,0.05,400,CE,NFO-OPT,NFO
79,13622274,53212,ACC20MAY1780PE,ACC,0.0,2020-05-28,1780.0,0.05,400,PE,NFO-OPT,NFO
80,20470274,79962,ACC20MAY720CE,ACC,0.0,2020-05-28,720.0,0.05,400,CE,NFO-OPT,NFO
81,20470530,79963,ACC20MAY720PE,ACC,0.0,2020-05-28,720.0,0.05,400,PE,NFO-OPT,NFO
82,15683074,61262,ACC20MAY740CE,ACC,0.0,2020-05-28,740.0,0.05,400,CE,NFO-OPT,NFO
83,15683330,61263,ACC20MAY740PE,ACC,0.0,2020-05-28,740.0,0.05,400,PE,NFO-OPT,NFO
84,15683586,61264,ACC20MAY760CE,ACC,0.0,2020-05-28,760.0,0.05,400,CE,NFO-OPT,NFO
85,15683842,61265,ACC20MAY760PE,ACC,0.0,2020-05-28,760.0,0.05,400,PE,NFO-OPT,NFO
86,15684098,61266,ACC20MAY780CE,ACC,0.0,2020-05-28,780.0,0.05,400,CE,NFO-OPT,NFO
87,15684354,61267,ACC20MAY780PE,ACC,0.0,2020-05-28,780.0,0.05,400,PE,NFO-OPT,NFO
88,15684610,61268,ACC20MAY800CE,ACC,0.0,2020-05-28,800.0,0.05,400,CE,NFO-OPT,NFO
89,15684866,61269,ACC20MAY800PE,ACC,0.0,2020-05-28,800.0,0.05,400,PE,NFO-OPT,NFO
90,13792002,53875,ACC20MAY820CE,ACC,0.0,2020-05-28,820.0,0.05,400,CE,NFO-OPT,NFO
91,13792258,53876,ACC20MAY820PE,ACC,0.0,2020-05-28,820.0,0.05,400,PE,NFO-OPT,NFO
92,12279554,47967,ACC20MAY840CE,ACC,0.0,2020-05-28,840.0,0.05,400,CE,NFO-OPT,NFO
93,12279810,47968,ACC20MAY840PE,ACC,0.0,2020-05-28,840.0,0.05,400,PE,NFO-OPT,NFO
94,12280066,47969,ACC20MAY860CE,ACC,0.0,2020-05-28,860.0,0.05,400,CE,NFO-OPT,NFO
95,12280322,47970,ACC20MAY860PE,ACC,0.0,2020-05-28,860.0,0.05,400,PE,NFO-OPT,NFO
96,10322178,40321,ACC20MAY880CE,ACC,0.0,2020-05-28,880.0,0.05,400,CE,NFO-OPT,NFO
97,10322434,40322,ACC20MAY880PE,ACC,0.0,2020-05-28,880.0,0.05,400,PE,NFO-OPT,NFO
98,10322690,40323,ACC20MAY900CE,ACC,0.0,2020-05-28,900.0,0.05,400,CE,NFO-OPT,NFO
99,10323202,40325,ACC20MAY900PE,ACC,0.0,2020-05-28,900.0,0.05,400,PE,NFO-OPT,NFO
100,9292802,36300,ACC20MAY920CE,ACC,0.0,2020-05-28,920.0,0.05,400,CE,NFO-OPT,NFO
101,9293058,36301,ACC20MAY920PE,ACC,0.0,2020-05-28,920.0,0.05,400,PE,NFO-OPT,NFO
102,9293314,36302,ACC20MAY940CE,ACC,0.0,2020-05-28,940.0,0.05,400,CE,NFO-OPT,NFO
103,9293570,36303,ACC20MAY940PE,ACC,0.0,2020-05-28,940.0,0.05,400,PE,NFO-OPT,NFO
104,9293826,36304,ACC20MAY960CE,ACC,0.0,2020-05-28,960.0,0.05,400,CE,NFO-OPT,NFO
105,9294082,36305,ACC20MAY960PE,ACC,0.0,2020-05-28,960.0,0.05,400,PE,NFO-OPT,NFO
106,13596162,53110,ACC20MAY980CE,ACC,0.0,2020-05-28,980.0,0.05,400,CE,NFO-OPT,NFO
107,13596418,53111,ACC20MAY980PE,ACC,0.0,2020-05-28,980.0,0.05,400,PE,NFO-OPT,NFO
108,24645890,96273,ACC20JUN1000CE,ACC,0.0,2020-06-25,1000.0,0.05,400,CE,NFO-OPT,NFO
109,24646146,96274,ACC20JUN1000PE,ACC,0.0,2020-06-25,1000.0,0.05,400,PE,NFO-OPT,NFO
110,24646402,96275,ACC20JUN1020CE,ACC,0.0,2020-06-25,1020.0,0.05,400,CE,NFO-OPT,NFO
111,24646658,96276,ACC20JUN1020PE,ACC,0.0,2020-06-25,1020.0,0.05,400,PE,NFO-OPT,NFO
112,24646914,96277,ACC20JUN1040CE,ACC,0.0,2020-06-25,1040.0,0.05,400,CE,NFO-OPT,NFO
113,24647170,96278,ACC20JUN1040PE,ACC,0.0,2020-06-25,1040.0,0.05,400,PE,NFO-OPT,NFO
114,24647426,96279,ACC20JUN1060CE,ACC,0.0,2020-06-25,1060.0,0.05,400,CE,NFO-OPT,NFO
115,24647682,96280,ACC20JUN1060PE,ACC,0.0,2020-06-25,1060.0,0.05,400,PE,NFO-OPT,NFO
116,24647938,96281,ACC20JUN1080CE,ACC,0.0,2020-06-25,1080.0,0.05,400,CE,NFO-OPT,NFO
117,24648194,96282,ACC20JUN1080PE,ACC,0.0,2020-06-25,1080.0,0.05,400,PE,NFO-OPT,NFO
118,24648450,96283,ACC20JUN1100CE,ACC,0.0,2020-06-25,1100.0,0.05,400,CE,NFO-OPT,NFO
119,24648706,96284,ACC20JUN1100PE,ACC,0.0,2020-06-25,1100.0,0.05,400,PE,NFO-OPT,NFO
120,24648962,96285,ACC20JUN1120CE,ACC,0.0,2020-06-25,1120.0,0.05,400,CE,NFO-OPT,NFO
121,24649218,96286,ACC20JUN1120PE,ACC,0.0,2020-06-25,1120.0,0.05,400,PE,NFO-OPT,NFO
122,24649474,96287,ACC20JUN1140CE,ACC,0.0,2020-06-25,1140.0,0.05,400,CE,NFO-OPT,NFO
123,24649730,96288,ACC20JUN1140PE,ACC,0.0,2020-06-25,1140.0,0.05,400,PE,NFO-OPT,NFO
124,24649986,96289,ACC20JUN1160CE,ACC,0.0,2020-06-25,1160.0,0.05,400,CE,NFO-OPT,NFO
125,24650242,96290,ACC20JUN1160PE,ACC,0.0,2020-06-25,1160.0,0.05,400,PE,NFO-OPT,NFO
126,24650498,96291,ACC20JUN1180CE,ACC,0.0,2020-06-25,1180.0,0.05,400,CE,NFO-OPT,NFO
127,24650754,96292,ACC20JUN1180PE,ACC,0.0,2020-06-25,1180.0,0.05,400,PE,NFO-OPT,NFO
128,24651010,96293,ACC20JUN1200CE,ACC,0.0,2020-06-25,1200.0,0.05,400,CE,NFO-OPT,NFO
129,24651266,96294,ACC20JUN1200PE,ACC,0.0,2020-06-25,1200.0,0.05,400,PE,NFO-OPT,NFO
130,24651522,96295,ACC20JUN1220CE,ACC,0.0,2020-06-25,1220.0,0.05,400,CE,NFO-OPT,NFO
131,24651778,96296,ACC20JUN1220PE,ACC,0.0,2020-06-25,1220.0,0.05,400,PE,NFO-OPT,NFO
132,24652034,96297,ACC20JUN1240CE,ACC,0.0,2020-06-25,1240.0,0.05,400,CE,NFO-OPT,NFO
133,24652290,96298,ACC20JUN1240PE,ACC,0.0,2020-06-25,1240.0,0.05,400,PE,NFO-OPT,NFO
134,24652546,96299,ACC20JUN1260CE,ACC,0.0,2020-06-25,1260.0,0.05,400,CE,NFO-OPT,NFO
135,24652802,96300,ACC20JUN1260PE,ACC,0.0,2020-06-25,1260.0,0.05,400,PE,NFO-OPT,NFO
136,24653058,96301,ACC20JUN1280CE,ACC,0.0,2020-06-25,1280.0,0.05,400,CE,NFO-OPT,NFO
137,24653314,96302,ACC20JUN1280PE,ACC,0.0,2020-06-25,1280.0,0.05,400,PE,NFO-OPT,NFO
138,24653570,96303,ACC20JUN1300CE,ACC,0.0,2020-06-25,1300.0,0.05,400,CE,NFO-OPT,NFO
139,24653826,96304,ACC20JUN1300PE,ACC,0.0,2020-06-25,1300.0,0.05,400,PE,NFO-OPT,NFO
140,24654082,96305,ACC20JUN1320CE,ACC,0.0,2020-06-25,1320.0,0.05,400,CE,NFO-OPT,NFO
141,24654338,96306,ACC20JUN1320PE,ACC,0.0,2020-06-25,1320.0,0.05,400,PE,NFO-OPT,NFO
142,24654594,96307,ACC20JUN1340CE,ACC,0.0,2020-06-25,1340.0,0.05,400,CE,NFO-OPT,NFO
143,24654850,96308,ACC20JUN1340PE,ACC,0.0,2020-06-25,1340.0,0.05,400,PE,NFO-OPT,NFO
144,24655106,96309,ACC20JUN1360CE,ACC,0.0,2020-06-25,1360.0,0.05,400,CE,NFO-OPT,NFO
145,24655362,96310,ACC20JUN1360PE,ACC,0.0,2020-06-25,1360.0,0.05,400,PE,NFO-OPT,NFO
146,10281474,40162,ACC20JUN1380CE,ACC,0.0,2020-06-25,1380.0,0.05,400,CE,NFO-OPT,NFO
147,10281730,40163,ACC20JUN1380PE,ACC,0.0,2020-06-25,1380.0,0.05,400,PE,NFO-OPT,NFO
148,10282498,40166,ACC20JUN1400CE,ACC,0.0,2020-06-25,1400.0,0.05,400,CE,NFO-OPT,NFO
149,10282754,40167,ACC20JUN1400PE,ACC,0.0,2020-06-25,1400.0,0.05,400,PE,NFO-OPT,NFO
150,8985090,35098,ACC20JUN1420CE,ACC,0.0,2020-06-25,1420.0,0.05,400,CE,NFO-OPT,NFO
151,8985858,35101,ACC20JUN1420PE,ACC,0.0,2020-06-25,1420.0,0.05,400,PE,NFO-OPT,NFO
152,9011202,35200,ACC20JUN1440CE,ACC,0.0,2020-06-25,1440.0,0.05,400,CE,NFO-OPT,NFO
153,9011458,35201,ACC20JUN1440PE,ACC,0.0,2020-06-25,1440.0,0.05,400,PE,NFO-OPT,NFO
154,9012738,35206,ACC20JUN1460CE,ACC,0.0,2020-06-25,1460.0,0.05,400,CE,NFO-OPT,NFO
155,9012994,35207,ACC20JUN1460PE,ACC,0.0,2020-06-25,1460.0,0.05,400,PE,NFO-OPT,NFO
156,10519554,41092,ACC20JUN1480CE,ACC,0.0,2020-06-25,1480.0,0.05,400,CE,NFO-OPT,NFO
157,10519810,41093,ACC20JUN1480PE,ACC,0.0,2020-06-25,1480.0,0.05,400,PE,NFO-OPT,NFO
158,24638722,96245,ACC20JUN720CE,ACC,0.0,2020-06-25,720.0,0.05,400,CE,NFO-OPT,NFO
159,24638978,96246,ACC20JUN720PE,ACC,0.0,2020-06-25,720.0,0.05,400,PE,NFO-OPT,NFO
160,24639234,96247,ACC20JUN740CE,ACC,0.0,2020-06-25,740.0,0.05,400,CE,NFO-OPT,NFO
161,24639490,96248,ACC20JUN740PE,ACC,0.0,2020-06-25,740.0,0.05,400,PE,NFO-OPT,NFO
162,24639746,96249,ACC20JUN760CE,ACC,0.0,2020-06-25,760.0,0.05,400,CE,NFO-OPT,NFO
163,24640002,96250,ACC20JUN760PE,ACC,0.0,2020-06-25,760.0,0.05,400,PE,NFO-OPT,NFO
164,24640258,96251,ACC20JUN780CE,ACC,0.0,2020-06-25,780.0,0.05,400,CE,NFO-OPT,NFO
165,24640514,96252,ACC20JUN780PE,ACC,0.0,2020-06-25,780.0,0.05,400,PE,NFO-OPT,NFO
166,24640770,96253,ACC20JUN800CE,ACC,0.0,2020-06-25,800.0,0.05,400,CE,NFO-OPT,NFO
167,24641026,96254,ACC20JUN800PE,ACC,0.0,2020-06-25,800.0,0.05,400,PE,NFO-OPT,NFO
168,24641282,96255,ACC20JUN820CE,ACC,0.0,2020-06-25,820.0,0.05,400,CE,NFO-OPT,NFO
169,24641538,96256,ACC20JUN820PE,ACC,0.0,2020-06-25,820.0,0.05,400,PE,NFO-OPT,NFO
170,24641794,96257,ACC20JUN840CE,ACC,0.0,2020-06-25,840.0,0.05,400,CE,NFO-OPT,NFO
171,24642050,96258,ACC20JUN840PE,ACC,0.0,2020-06-25,840.0,0.05,400,PE,NFO-OPT,NFO
172,24642306,96259,ACC20JUN860CE,ACC,0.0,2020-06-25,860.0,0.05,400,CE,NFO-OPT,NFO
173,24642562,96260,ACC20JUN860PE,ACC,0.0,2020-06-25,860.0,0.05,400,PE,NFO-OPT,NFO
174,24642818,96261,ACC20JUN880CE,ACC,0.0,2020-06-25,880.0,0.05,400,CE,NFO-OPT,NFO
175,24643074,96262,ACC20JUN880PE,ACC,0.0,2020-06-25,880.0,0.05,400,PE,NFO-OPT,NFO
176,24643330,96263,ACC20JUN900CE,ACC,0.0,2020-06-25,900.0,0.05,400,CE,NFO-OPT,NFO
177,24643586,96264,ACC20JUN900PE,ACC,0.0,2020-06-25,900.0,0.05,400,PE,NFO-OPT,NFO
178,24643842,96265,ACC20JUN920CE,ACC,0.0,2020-06-25,920.0,0.05,400,CE,NFO-OPT,NFO
179,24644098,96266,ACC20JUN920PE,ACC,0.0,2020-06-25,920.0,0.05,400,PE,NFO-OPT,NFO
180,24644354,96267,ACC20JUN940CE,ACC,0.0,2020-06-25,940.0,0.05,400,CE,NFO-OPT,NFO
181,24644610,96268,ACC20JUN940PE,ACC,0.0,2020-06-25,940.0,0.05,400,PE,NFO-OPT,NFO
182,24644866,96269,ACC20JUN960CE,ACC,0.0,2020-06-25,960.0,0.05,400,CE,NFO-OPT,NFO
183,24645122,96270,ACC20JUN960PE,ACC,0.0,2020-06-25,960.0,0.05,400,PE,NFO-OPT,NFO
184,24645378,96271,ACC20JUN980CE,ACC,0.0,2020-06-25,980.0,0.05,400,CE,NFO-OPT,NFO
185,24645634,96272,ACC20JUN980PE,ACC,0.0,2020-06-25,980.0,0.05,400,PE,NFO-OPT,NFO
186,11950082,46680,ACC20JUL1000CE,ACC,0.0,2020-07-30,1000.0,0.05,500,CE,NFO-OPT,NFO
187,11950338,46681,ACC20JUL1000PE,ACC,0.0,2020-07-30,1000.0,0.05,500,PE,NFO-OPT,NFO
188,11951106,46684,ACC20JUL1020CE,ACC,0.0,2020-07-30,1020.0,0.05,500,CE,NFO-OPT,NFO
189,11951362,46685,ACC20JUL1020PE,ACC,0.0,2020-07-30,1020.0,0.05,500,PE,NFO-OPT,NFO
190,11951874,46687,ACC20JUL1040CE,ACC,0.0,2020-07-30,1040.0,0.05,500,CE,NFO-OPT,NFO
191,11952130,46688,ACC20JUL1040PE,ACC,0.0,2020-07-30,1040.0,0.05,500,PE,NFO-OPT,NFO
192,11952386,46689,ACC20JUL1060CE,ACC,0.0,2020-07-30,1060.0,0.05,500,CE,NFO-OPT,NFO
193,11952642,46690,ACC20JUL1060PE,ACC,0.0,2020-07-30,1060.0,0.05,500,PE,NFO-OPT,NFO
194,11953154,46692,ACC20JUL1080CE,ACC,0.0,2020-07-30,1080.0,0.05,500,CE,NFO-OPT,NFO
195,11953666,46694,ACC20JUL1080PE,ACC,0.0,2020-07-30,1080.0,0.05,500,PE,NFO-OPT,NFO
196,11953922,46695,ACC20JUL1100CE,ACC,0.0,2020-07-30,1100.0,0.05,500,CE,NFO-OPT,NFO
197,11954178,46696,ACC20JUL1100PE,ACC,0.0,2020-07-30,1100.0,0.05,500,PE,NFO-OPT,NFO
198,11954690,46698,ACC20JUL1120CE,ACC,0.0,2020-07-30,1120.0,0.05,500,CE,NFO-OPT,NFO
199,11954946,46699,ACC20JUL1120PE,ACC,0.0,2020-07-30,1120.0,0.05,500,PE,NFO-OPT,NFO
200,11955202,46700,ACC20JUL1140CE,ACC,0.0,2020-07-30,1140.0,0.05,500,CE,NFO-OPT,NFO
201,11955458,46701,ACC20JUL1140PE,ACC,0.0,2020-07-30,1140.0,0.05,500,PE,NFO-OPT,NFO
202,11955714,46702,ACC20JUL1160CE,ACC,0.0,2020-07-30,1160.0,0.05,500,CE,NFO-OPT,NFO
203,11955970,46703,ACC20JUL1160PE,ACC,0.0,2020-07-30,1160.0,0.05,500,PE,NFO-OPT,NFO
204,11956226,46704,ACC20JUL1180CE,ACC,0.0,2020-07-30,1180.0,0.05,500,CE,NFO-OPT,NFO
205,11956482,46705,ACC20JUL1180PE,ACC,0.0,2020-07-30,1180.0,0.05,500,PE,NFO-OPT,NFO
206,11956738,46706,ACC20JUL1200CE,ACC,0.0,2020-07-30,1200.0,0.05,500,CE,NFO-OPT,NFO
207,11957506,46709,ACC20JUL1200PE,ACC,0.0,2020-07-30,1200.0,0.05,500,PE,NFO-OPT,NFO
208,11957762,46710,ACC20JUL1220CE,ACC,0.0,2020-07-30,1220.0,0.05,500,CE,NFO-OPT,NFO
209,11958018,46711,ACC20JUL1220PE,ACC,0.0,2020-07-30,1220.0,0.05,500,PE,NFO-OPT,NFO
210,11958274,46712,ACC20JUL1240CE,ACC,0.0,2020-07-30,1240.0,0.05,500,CE,NFO-OPT,NFO
211,11958786,46714,ACC20JUL1240PE,ACC,0.0,2020-07-30,1240.0,0.05,500,PE,NFO-OPT,NFO
212,11959042,46715,ACC20JUL1260CE,ACC,0.0,2020-07-30,1260.0,0.05,500,CE,NFO-OPT,NFO
213,11959554,46717,ACC20JUL1260PE,ACC,0.0,2020-07-30,1260.0,0.05,500,PE,NFO-OPT,NFO
214,11960322,46720,ACC20JUL1280CE,ACC,0.0,2020-07-30,1280.0,0.05,500,CE,NFO-OPT,NFO
215,11960578,46721,ACC20JUL1280PE,ACC,0.0,2020-07-30,1280.0,0.05,500,PE,NFO-OPT,NFO
216,11960834,46722,ACC20JUL1300CE,ACC,0.0,2020-07-30,1300.0,0.05,500,CE,NFO-OPT,NFO
217,11961090,46723,ACC20JUL1300PE,ACC,0.0,2020-07-30,1300.0,0.05,500,PE,NFO-OPT,NFO
218,11961346,46724,ACC20JUL1320CE,ACC,0.0,2020-07-30,1320.0,0.05,500,CE,NFO-OPT,NFO
219,11961602,46725,ACC20JUL1320PE,ACC,0.0,2020-07-30,1320.0,0.05,500,PE,NFO-OPT,NFO
220,11961858,46726,ACC20JUL1340CE,ACC,0.0,2020-07-30,1340.0,0.05,500,CE,NFO-OPT,NFO
221,11962114,46727,ACC20JUL1340PE,ACC,0.0,2020-07-30,1340.0,0.05,500,PE,NFO-OPT,NFO
222,11962370,46728,ACC20JUL1360CE,ACC,0.0,2020-07-30,1360.0,0.05,500,CE,NFO-OPT,NFO
223,11962626,46729,ACC20JUL1360PE,ACC,0.0,2020-07-30,1360.0,0.05,500,PE,NFO-OPT,NFO
224,11962882,46730,ACC20JUL1380CE,ACC,0.0,2020-07-30,1380.0,0.05,500,CE,NFO-OPT,NFO
