,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,13596674,53112,ACC20MAY1000CE,ACC,0.0,2020-05-28,1000.0,0.05,400,CE,NFO-OPT,NFO
1,13596930,53113,ACC20MAY1000PE,ACC,0.0,2020-05-28,1000.0,0.05,400,PE,NFO-OPT,NFO
2,13597698,53116,ACC20MAY1020CE,ACC,0.0,2020-05-28,1020.0,0.05,400,CE,NFO-OPT,NFO
3,13597954,53117,ACC20MAY1020PE,ACC,0.0,2020-05-28,1020.0,0.05,400,PE,NFO-OPT,NFO
4,13598210,53118,ACC20MAY1040CE,ACC,0.0,2020-05-28,1040.0,0.05,400,CE,NFO-OPT,NFO
5,13598466,53119,ACC20MAY1040PE,ACC,0.0,2020-05-28,1040.0,0.05,400,PE,NFO-OPT,NFO
6,13598722,53120,ACC20MAY1060CE,ACC,0.0,2020-05-28,1060.0,0.05,400,CE,NFO-OPT,NFO
7,13599234,53122,ACC20MAY1060PE,ACC,0.0,2020-05-28,1060.0,0.05,400,PE,NFO-OPT,NFO
8,13599746,53124,ACC20MAY1080CE,ACC,0.0,2020-05-28,1080.0,0.05,400,CE,NFO-OPT,NFO
9,13600002,53125,ACC20MAY1080PE,ACC,0.0,2020-05-28,1080.0,0.05,400,PE,NFO-OPT,NFO
10,13600258,53126,ACC20MAY1100CE,ACC,0.0,2020-05-28,1100.0,0.05,400,CE,NFO-OPT,NFO
11,13600770,53128,ACC20MAY1100PE,ACC,0.0,2020-05-28,1100.0,0.05,400,PE,NFO-OPT,NFO
12,13601026,53129,ACC20MAY1120CE,ACC,0.0,2020-05-28,1120.0,0.05,400,CE,NFO-OPT,NFO
13,13601282,53130,ACC20MAY1120PE,ACC,0.0,2020-05-28,1120.0,0.05,400,PE,NFO-OPT,NFO
14,13601538,53131,ACC20MAY1140CE,ACC,0.0,2020-05-28,1140.0,0.05,400,CE,NFO-OPT,NFO
15,13601794,53132,ACC20MAY1140PE,ACC,0.0,2020-05-28,1140.0,0.05,400,PE,NFO-OPT,NFO
16,13602050,53133,ACC20MAY1160CE,ACC,0.0,2020-05-28,1160.0,0.05,400,CE,NFO-OPT,NFO
17,13602306,53134,ACC20MAY1160PE,ACC,0.0,2020-05-28,1160.0,0.05,400,PE,NFO-OPT,NFO
18,13602562,53135,ACC20MAY1180CE,ACC,0.0,2020-05-28,1180.0,0.05,400,CE,NFO-OPT,NFO
19,13602818,53136,ACC20MAY1180PE,ACC,0.0,2020-05-28,1180.0,0.05,400,PE,NFO-OPT,NFO
20,13603074,53137,ACC20MAY1200CE,ACC,0.0,2020-05-28,1200.0,0.05,400,CE,NFO-OPT,NFO
21,13603330,53138,ACC20MAY1200PE,ACC,0.0,2020-05-28,1200.0,0.05,400,PE,NFO-OPT,NFO
22,13603586,53139,ACC20MAY1220CE,ACC,0.0,2020-05-28,1220.0,0.05,400,CE,NFO-OPT,NFO
23,13603842,53140,ACC20MAY1220PE,ACC,0.0,2020-05-28,1220.0,0.05,400,PE,NFO-OPT,NFO
24,13604098,53141,ACC20MAY1240CE,ACC,0.0,2020-05-28,1240.0,0.05,400,CE,NFO-OPT,NFO
25,13604354,53142,ACC20MAY1240PE,ACC,0.0,2020-05-28,1240.0,0.05,400,PE,NFO-OPT,NFO
26,13604610,53143,ACC20MAY1260CE,ACC,0.0,2020-05-28,1260.0,0.05,400,CE,NFO-OPT,NFO
27,13604866,53144,ACC20MAY1260PE,ACC,0.0,2020-05-28,1260.0,0.05,400,PE,NFO-OPT,NFO
28,13605122,53145,ACC20MAY1280CE,ACC,0.0,2020-05-28,1280.0,0.05,400,CE,NFO-OPT,NFO
29,13605378,53146,ACC20MAY1280PE,ACC,0.0,2020-05-28,1280.0,0.05,400,PE,NFO-OPT,NFO
30,13605634,53147,ACC20MAY1300CE,ACC,0.0,2020-05-28,1300.0,0.05,400,CE,NFO-OPT,NFO
31,13605890,53148,ACC20MAY1300PE,ACC,0.0,2020-05-28,1300.0,0.05,400,PE,NFO-OPT,NFO
32,13606146,53149,ACC20MAY1320CE,ACC,0.0,2020-05-28,1320.0,0.05,400,CE,NFO-OPT,NFO
33,13606402,53150,ACC20MAY1320PE,ACC,0.0,2020-05-28,1320.0,0.05,400,PE,NFO-OPT,NFO
34,13606658,53151,ACC20MAY1340CE,ACC,0.0,2020-05-28,1340.0,0.05,400,CE,NFO-OPT,NFO
35,13606914,53152,ACC20MAY1340PE,ACC,0.0,2020-05-28,1340.0,0.05,400,PE,NFO-OPT,NFO
36,13607170,53153,ACC20MAY1360CE,ACC,0.0,2020-05-28,1360.0,0.05,400,CE,NFO-OPT,NFO
37,13607682,53155,ACC20MAY1360PE,ACC,0.0,2020-05-28,1360.0,0.05,400,PE,NFO-OPT,NFO
38,13607938,53156,ACC20MAY1380CE,ACC,0.0,2020-05-28,1380.0,0.05,400,CE,NFO-OPT,NFO
39,13608194,53157,ACC20MAY1380PE,ACC,0.0,2020-05-28,1380.0,0.05,400,PE,NFO-OPT,NFO
40,13608450,53158,ACC20MAY1400CE,ACC,0.0,2020-05-28,1400.0,0.05,400,CE,NFO-OPT,NFO
41,13608706,53159,ACC20MAY1400PE,ACC,0.0,2020-05-28,1400.0,0.05,400,PE,NFO-OPT,NFO
